序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
55,线索中心,线索列表,线索列表,F-055,线索列表页面展示,系统以表格形式展示当前用户有权限查看的所有线索列表,用户从左侧菜单进入线索列表页面,1.不展示状态为"公海待分配"的线索；2.展示线索名称、来源、所属站点、负责人、状态、阶段、标签、意向产品、最近跟进、创建时间等字段,无,展示线索列表表格,无,有线索列表权限的用户,无,
56,线索中心,线索列表,线索列表,F-056,线索状态Tab切换,系统支持按线索状态快速筛选列表数据,用户点击Tab标签切换不同的状态分类,Tab分类：全部、待跟进（已分配）、跟进中（跟进中/高意向）、已成交客户（已转客户）、丢失,状态分类,筛选对应状态的线索列表,无,有线索列表权限的用户,无,
57,线索中心,线索列表,线索列表,F-057,线索站点筛选,系统支持按所属站点筛选线索,用户选择站点后点击查询，系统按站点过滤线索列表,站点选项包括全部及所有可用站点,站点,筛选指定站点的线索,无,有线索列表权限的用户,无,
58,线索中心,线索列表,线索列表,F-058,线索创建时间筛选,系统支持按创建时间范围筛选线索,用户选择时间范围后点击查询，系统筛选该时间范围内的线索,无,时间范围,筛选指定创建时间的线索,无,有线索列表权限的用户,无,
59,线索中心,线索列表,线索列表,F-059,线索关键词搜索,系统支持按关键词搜索线索编号、名称、企业和邮箱,用户在关键词输入框中输入搜索内容后点击查询，系统筛选匹配的线索,搜索范围为线索编号、名称、企业、邮箱,关键词,筛选匹配的线索列表,无,有线索列表权限的用户,无,
60,线索中心,线索列表,线索列表,F-060,线索状态筛选,系统支持按线索状态筛选列表,用户从状态下拉列表中选择状态后点击查询,状态选项：全部、已分配、跟进中/高意向、已转客户、无效、丢失,状态,筛选指定状态的线索,无,有线索列表权限的用户,无,
61,线索中心,线索列表,线索列表,F-061,线索阶段筛选,系统支持按线索当前阶段筛选列表,用户从阶段下拉列表中选择阶段后点击查询,阶段选项：全部、首次联系、需求确认、样品阶段、报价阶段,阶段,筛选指定阶段的线索,无,有线索列表权限的用户,无,
62,线索中心,线索列表,线索列表,F-062,线索意向产品筛选,系统支持按意向产品关键词筛选线索,用户输入意向产品关键词后点击查询,无,意向产品关键词,筛选匹配的线索,无,有线索列表权限的用户,无,
63,线索中心,线索列表,线索列表,F-063,线索查询,系统根据用户选择的全部筛选条件更新线索列表,用户点击"查询"按钮触发筛选,无,无,刷新线索列表,无,有线索列表权限的用户,无,
64,线索中心,线索列表,线索列表,F-064,线索重置筛选,系统恢复线索筛选条件至默认值并重新加载线索列表,用户点击"重置"按钮,无,无,重置筛选条件并刷新线索列表,无,有线索列表权限的用户,无,
65,线索中心,线索列表,线索列表,F-065,线索录入跟进,系统支持用户对选中的单条线索录入跟进记录,用户选中一条线索后点击"录入跟进"按钮，在弹出的跟进表单中填写跟进信息后保存,1.仅选中一条线索时可操作；2.跟进方式可选：电话、邮件、WhatsApp、会议、拜访、备注；3.当前阶段可选：首次联系、需求确认、样品阶段、报价阶段、合同已成交；4.跟进内容为必填；5.跟进记录录入成功后不可修改、不可删除,跟进方式（必填）、当前阶段（必填）、下次跟进时间、跟进内容（必填）,保存跟进记录，系统提示"跟进记录录入成功",无,跟进权限（follow）,无,
66,线索中心,线索列表,线索列表,F-066,线索批量分配,系统支持对选中的多条线索批量分配负责人,用户选中一条或多条线索后点击"批量分配"按钮，在弹出的分配窗口中选择新负责人和填写分配备注后确认,1.可选负责人为销售业务员角色用户；2.分配备注为必填；3.分配后线索状态从"公海待分配"变更为"已分配",新负责人（必填）、分配备注（必填）,系统提示"成功分配X条线索",无,分配权限（assign）,无,
67,线索中心,线索列表,线索列表,F-067,线索回收至公海,系统支持对选中的线索回收至公海池,用户选中一条或多条线索后点击"回收"按钮，在弹出的窗口中填写回收原因后确认,1.仅状态为"已分配"或"跟进中"的线索可回收；2.回收后线索负责人清空、状态变更为"公海待分配"；3.回收原因为必填,回收原因（必填）,系统提示"线索已回收至公海",无,回收权限（recycle）,公海池,
68,线索中心,线索列表,线索列表,F-068,查看跟进日志,系统跳转至全量跟进日志页面,用户点击"跟进日志"按钮跳转至跟进日志页面,无,无,跳转至跟进日志页面,无,有线索列表权限的用户,跟进日志,
69,线索中心,线索列表,线索列表,F-069,线索刷新,系统重新加载线索列表数据,用户点击"刷新"按钮,无,无,刷新线索列表数据,无,有线索列表权限的用户,无,
70,线索中心,线索列表,线索列表,F-070,线索导出,系统创建线索导出任务（本期为预留功能）,用户点击"导出"按钮,本期导出为预留功能，仅做入口展示,无,系统提示"已创建线索导出任务",无,导出权限（export）,无,
71,线索中心,线索列表,线索列表,F-071,线索列表多选,系统支持在线索列表中选择单条或多条线索,用户勾选线索前的复选框选择操作对象,选中项在工具栏显示"已选N项"提示,无,选中线索用于后续批量操作,无,有线索列表权限的用户,无,
72,线索中心,线索列表,线索列表,F-072,线索名称点击跳转,系统支持点击线索名称跳转至线索详情页,用户点击线索名称链接跳转至线索详情页,无,无,跳转至线索详情页,无,有线索列表权限的用户,线索详情,
73,线索中心,线索列表,线索列表,F-073,线索打标,系统支持为线索添加/修改标签,用户点击"打标"按钮,无,无,系统提示"标签已更新",无,打标权限（tag）,无,
74,线索中心,线索列表,线索列表,F-074,线索编辑,系统支持编辑线索基本信息,用户点击"编辑"按钮，在弹出的编辑窗口中修改线索信息后保存,可编辑字段：企业名称、联系人姓名、联系人邮箱、联系人电话、来源站点、来源渠道、意向产品,线索编辑表单字段,系统提示"线索信息已更新",无,编辑权限（edit）,无,
75,线索中心,线索列表,线索列表,F-075,线索更多操作-查看邮件,系统从线索跳转至邮件页面,用户在更多操作菜单中点击"查看邮件"跳转至邮件页面,无,无,跳转至邮件页面,无,有线索列表权限的用户,邮件,
76,线索中心,线索列表,线索列表,F-076,线索更多操作-查看WhatsApp,系统从线索跳转至WhatsApp页面,用户在更多操作菜单中点击"查看WhatsApp"跳转至WhatsApp页面,无,无,跳转至WhatsApp页面,无,有线索列表权限的用户,WhatsApp,
77,线索中心,线索列表,线索列表,F-077,线索更多操作-分配,系统支持对单条线索分配负责人,用户在更多操作菜单中点击"分配线索"按钮，弹出分配窗口操作,同批量分配规则，仅针对单条线索,新负责人（必填）、分配备注（必填）,线索分配成功,无,分配权限（assign）,无,
78,线索中心,线索列表,线索列表,F-078,线索更多操作-标记无效,系统支持将线索标记为无效状态,用户在更多操作菜单中点击"标记无效"按钮,无,无,系统提示"线索已标记无效",无,状态变更权限（status-change）,无,
79,线索中心,公海池,公海池,F-079,公海池页面展示,系统展示当前未分配（公海待分配）的线索列表，供主管进行分配操作,用户从左侧菜单进入公海池页面,仅展示状态为"公海待分配"的线索,无,展示公海池线索列表,无,有公海池权限的用户,无,
80,线索中心,公海池,公海池,F-080,公海池站点筛选,系统支持按所属站点筛选公海池线索,用户选择站点后点击查询,无,站点,筛选指定站点的公海池线索,无,有公海池权限的用户,无,
81,线索中心,公海池,公海池,F-081,公海池入池时间筛选,系统支持按入池时间范围筛选公海池线索,用户选择时间范围后点击查询,无,时间范围,筛选指定入池时间的公海池线索,无,有公海池权限的用户,无,
82,线索中心,公海池,公海池,F-082,公海池关键词搜索,系统支持按关键词搜索公海池线索编号、名称和企业,用户输入关键词后点击查询,搜索范围为编号、名称、企业,关键词,筛选匹配的公海池线索,无,有公海池权限的用户,无,
83,线索中心,公海池,公海池,F-083,公海池来源渠道筛选,系统支持按来源渠道筛选公海池线索,用户选择来源渠道后点击查询,渠道选项：全部、官网询盘、WhatsApp、自然询盘,渠道,筛选指定来源渠道的公海池线索,无,有公海池权限的用户,无,
84,线索中心,公海池,公海池,F-084,公海池查询,系统根据筛选条件更新公海池线索列表,用户点击"查询"按钮,无,无,刷新公海池列表,无,有公海池权限的用户,无,
85,线索中心,公海池,公海池,F-085,公海池重置,系统恢复公海池筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新公海池列表,无,有公海池权限的用户,无,
86,线索中心,公海池,公海池,F-086,公海池批量分配,系统支持对公海池中选中的多条线索批量分配负责人,用户选中一条或多条公海池线索后点击"批量分配"按钮,同线索列表分配规则,新负责人（必填）、分配备注（必填）,系统提示"成功分配X条线索",无,分配权限（assign）,线索列表,
87,线索中心,公海池,公海池,F-087,公海池刷新,系统重新加载公海池数据,用户点击"刷新"按钮,无,无,刷新公海池数据,无,有公海池权限的用户,无,
88,线索中心,公海池,公海池,F-088,公海池分配（单条）,系统支持对单条公海池线索分配负责人,用户点击线索行中的"分配"按钮,同批量分配规则，仅针对单条线索,新负责人（必填）、分配备注（必填）,线索分配成功,无,分配权限（assign）,线索列表,
89,线索中心,公海池,公海池,F-089,公海池查看详情,系统跳转至线索详情页（公海模式）,用户点击线索行中的"查看详情"按钮或点击行记录,公海模式下的线索详情仅可查看和分配，其它操作隐藏,无,跳转至线索详情页（公海模式）,无,有公海池权限的用户,线索详情,
90,线索中心,跟进日志,跟进日志,F-090,跟进日志页面展示,系统以列表形式展示授权范围内所有线索的跟进记录,用户从线索列表点击"跟进日志"按钮进入,展示所有线索的跟进记录列表,无,展示跟进日志列表,无,有线索列表权限的用户,无,
91,线索中心,跟进日志,跟进日志,F-091,跟进日志时间范围筛选,系统支持按时间范围筛选跟进日志,用户选择时间范围后点击查询,无,时间范围,筛选指定时间范围的跟进日志,无,有线索列表权限的用户,无,
92,线索中心,跟进日志,跟进日志,F-092,跟进日志跟进人筛选,系统支持按跟进人筛选跟进日志,用户从跟进人下拉列表中选择后点击查询,跟进人选项包括全部及所有业务员,跟进人,筛选指定跟进人的日志,无,有线索列表权限的用户,无,
93,线索中心,跟进日志,跟进日志,F-093,跟进日志关键词搜索,系统支持按线索编号或名称搜索跟进日志,用户输入关键词后点击查询,搜索范围为线索编号或名称,关键词,筛选匹配的跟进日志,无,有线索列表权限的用户,无,
94,线索中心,跟进日志,跟进日志,F-094,跟进日志方式筛选,系统支持按跟进方式筛选跟进日志,用户选择跟进方式后点击查询,方式选项：全部、电话、邮件、WhatsApp、会议、拜访、备注,跟进方式,筛选指定方式的跟进日志,无,有线索列表权限的用户,无,
95,线索中心,跟进日志,跟进日志,F-095,跟进日志查询,系统根据筛选条件更新跟进日志列表,用户点击"查询"按钮,无,无,刷新跟进日志列表,无,有线索列表权限的用户,无,
96,线索中心,跟进日志,跟进日志,F-096,跟进日志重置,系统恢复跟进日志筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新列表,无,有线索列表权限的用户,无,
97,线索中心,跟进日志,跟进日志,F-097,跟进日志导出,系统创建跟进日志导出任务（预留功能）,用户点击"导出"按钮,本期导出为预留功能,无,系统提示"已创建跟进日志导出任务",无,导出权限（export）,无,
98,线索中心,跟进日志,跟进日志,F-098,跟进日志查看详情,系统展示单条跟进记录的详细内容,用户点击"详情"按钮,无,无,弹窗展示跟进内容详情,无,有线索列表权限的用户,无,
99,线索中心,跟进日志,跟进日志,F-099,返回线索列表,系统从跟进日志页面返回线索列表,用户点击"返回线索列表"按钮,无,无,跳转至线索列表,无,有线索列表权限的用户,线索列表,
100,线索中心,线索详情,线索详情,F-100,线索详情页面展示,系统展示单条线索的完整详细信息，包含基础信息、AI分析、关联对象等,用户从线索列表或公海池点击线索名称进入,1.公海模式（公海待分配状态）仅可查看和分配，其它操作隐藏；2.非公海模式支持完整操作,无,展示线索详情信息,线索不存在时展示"线索不存在"提示及返回按钮,有线索列表或公海池权限的用户,线索列表/公海池,
101,线索中心,线索详情,线索详情,F-101,线索详情分配,系统支持在公海线索详情页对线索进行分配,用户在公海线索详情页点击"分配"按钮,仅在线索状态为"公海待分配"时展示"分配"按钮,新负责人（必填）、分配备注（必填）,线索分配成功,无,分配权限（assign）,线索列表,
102,线索中心,线索详情,线索详情,F-102,线索详情录入跟进,系统支持在线索详情页录入跟进记录,用户在非公海线索详情页点击"录入跟进"按钮,仅非公海模式展示"录入跟进"按钮,跟进方式（必填）、当前阶段（必填）、下次跟进时间、跟进内容（必填）,保存跟进记录,无,跟进权限（follow）,无,
103,线索中心,线索详情,线索详情,F-103,线索详情编辑,系统支持在线索详情页编辑线索信息,用户点击"编辑"按钮,同线索列表编辑规则,线索编辑表单字段,系统提示"线索信息已更新",无,编辑权限（edit）,无,
104,线索中心,线索详情,线索详情,F-104,线索详情返回列表,系统从线索详情页返回对应的列表页,用户点击"返回列表"按钮,根据线索状态返回线索列表或公海池,无,返回对应列表页,无,有线索列表或公海池权限的用户,线索列表/公海池,
105,线索中心,线索详情,线索详情,F-105,线索详情指标卡,系统展示线索的核心指标信息：状态、负责人、最近跟进、下次跟进,在线索详情页顶部展示,1.跟进记录不可修改；2.下次跟进到期后进入待跟进,无,展示指标卡信息,无,有线索列表或公海池权限的用户,无,
106,线索中心,线索详情,线索详情,F-106,沟通记录Tab,系统展示线索关联的所有邮件和WhatsApp沟通记录,用户在线索详情页切换至"沟通记录"Tab,展示已关联的邮件和WhatsApp会话记录,无,展示沟通记录时间线,无,有线索列表或公海池权限的用户,无,
107,线索中心,线索详情,线索详情,F-107,跟进日志Tab（线索内）,系统展示当前线索的所有跟进记录,用户在线索详情页切换至"跟进日志"Tab,仅展示当前线索的跟进记录,无,展示跟进记录列表,无,有线索列表或公海池权限的用户,无,
108,线索中心,线索详情,线索详情,F-108,关联合同Tab,系统展示当前线索关联的所有合同列表,用户在线索详情页切换至"关联合同"Tab,仅展示关联到当前线索的合同,无,展示合同列表,无,有线索列表或公海池权限的用户,合同中心,
109,线索中心,线索详情,线索详情,F-109,AI智能分析区,系统展示AI对线索的智能分析结果，包含摘要、标签和意向产品,在线索详情页侧栏展示,显示AI标签和意向产品信息,无,展示AI分析信息,无,有线索列表或公海池权限的用户,无,
110,线索中心,线索详情,线索详情,F-110,线索基础信息区,系统展示线索的基础信息：企业名称、联系人、邮箱、电话、来源站点、创建时间,在线索详情页侧栏展示,无,无,展示基础信息,无,有线索列表或公海池权限的用户,无,
111,线索中心,线索详情,线索详情,F-111,关联对象信息区,系统展示线索的关联客户和关联消息数量,在线索详情页侧栏展示,关联客户支持点击跳转至客户详情页,无,展示关联对象信息,无,有线索列表或公海池权限的用户,客户详情,
